x,y
287,439
257,439
227,439
197,439
197,439
167,439
167,439
167,439
197,439
227,439
227,439
227,439
197,439
197,439
167,439
197,439
167,439
167,439
197,439
227,439
227,439
227,439
257,439
257,439
287,439
287,439
287,439
317,439
317,439
347,439
347,439
377,439
347,439
377,439
347,439
347,439
347,439
317,439
317,439
317,439
287,439
257,439
257,439
257,439
257,439
227,439
197,439
227,439
257,439
227,439
197,439
197,439
167,439
197,439
197,439
197,439
197,439
197,439
227,439
227,439
257,439
227,439
227,439
257,439
257,439
257,439
257,439
287,439
287,439
317,439
287,439
287,439
287,439
317,439
317,439
347,439
317,439
317,439
287,439
287,439
287,439
257,439
227,439
197,439
227,439
227,439
227,439
197,439
197,439
197,439
197,439
197,439
227,439
227,439
197,439
167,439
137,439
137,439
167,439
167,439
197,439
197,439
167,439
167,439
167,439
137,439
137,439
137,469
137,469
137,469
137,439
137,439
137,469
137,439
167,439
197,439
167,439
167,439
167,439
197,439
227,439
197,439
197,439
197,439
227,439
197,439
167,439
167,439
197,439
227,439
257,439
227,439
197,439
227,439
257,439
227,439
197,439
197,439
227,439
227,439
227,439
257,439
287,439
317,439
287,439
287,439
317,439
317,439
347,439
377,439
407,439
437,439
437,469
437,439
437,469
437,499
467,499
497,499
467,499
497,499
497,529
497,559
467,559
437,559
437,559
437,559
437,559
437,559
437,559
437,559
407,559
407,559
407,559
437,559
437,559
407,559
437,559
407,559
437,559
467,559
467,559
437,559
437,559
437,559
437,559
437,559
467,559
437,559
437,559
467,559
497,559
497,529
497,499
497,529
497,499
497,529
497,499
497,469
497,439
497,469
497,499
497,529
497,529
497,529
497,499
497,499
497,499
497,469
497,439
497,469
497,469
497,439
497,439
497,469
497,469
497,439
497,409
497,409
497,379
497,379
497,379
497,379
467,379
467,379
497,379
497,409
497,379
497,379
497,409
497,379
497,379
497,379
497,379
497,379
497,409
497,409
497,439
497,409
497,409
497,409
497,379
467,379
497,379
497,409
497,439
497,439
497,439
497,469
497,469
497,469
497,499
467,499
497,499
497,499
497,499
497,469
497,469
497,469
497,469
497,469
497,469
497,499
497,529
497,559
497,559
467,559
437,559
467,559
467,559
437,559
407,559
437,559
407,559
407,559
437,559
437,559
467,559
467,559
437,559
437,559
437,559
437,559
407,559
377,559
377,559
347,559
377,559
347,559
317,559
287,559
257,559
287,559
287,559
257,559
227,559
197,559
197,559
197,559
167,559
167,559
167,559
197,559
197,559
167,559
167,559
167,559
137,559
167,559
197,559
197,559
197,559
197,559
167,559
167,559
167,559
137,559
167,559
167,559
167,559
167,559
197,559
197,559
227,559
227,559
227,559
227,559
197,559
227,559
257,559
227,559
197,559
197,559
167,559
167,559
167,559
167,559
167,559
167,559
137,559
137,559
167,559
197,559
227,559
257,559
257,529
257,499
257,529
257,499
227,499
227,499
197,499
227,499
227,499
227,499
197,499
197,499
197,499
227,499
197,499
197,499
227,499
227,499
227,499
257,499
257,529
257,559
227,559
227,559
227,559
227,559
257,559
257,529
257,499
257,499
257,499
257,499
257,529
257,559
287,559
317,559
287,559
287,559
317,559
287,559
317,559
287,559
317,559
317,529
317,559
317,529
317,499
317,499
317,499
317,529
317,499
317,529
317,529
317,559
317,529
317,529
317,529
317,499
347,499
317,499
347,499
377,499
377,499
377,499
377,499
347,499
347,499
377,499
377,499
377,499
377,499
377,499
347,499
317,499
317,499
317,529
317,499
347,499
347,499
347,499
377,499
377,499
377,499
407,499
377,499
407,499
407,499
377,499
377,499
377,499
377,499
407,499
377,499
407,499
407,499
407,499
407,499
377,499
407,499
437,499
437,469
437,469
437,439
407,439
437,439
437,439
407,439
437,439
407,439
437,439
437,439
407,439
377,439
407,439
407,439
437,439
437,439
437,439
437,439
407,439
437,439
437,469
437,469
437,469
437,499
467,499
467,499
467,499
497,499
497,469
497,439
497,469
497,469
497,499
497,529
497,559
467,559
467,559
467,559
467,559
497,559
497,529
497,529
497,529
497,529
497,529
497,529
497,499
497,499
467,499
497,499
497,469
497,469
497,439
497,439
497,469
497,439
497,469
497,469
497,469
497,469
497,469
497,469
497,499
467,499
467,499
467,499
467,499
467,499
437,499
467,499
467,499
467,499
467,499
467,499
467,499
497,499
467,499
497,499
467,499
467,499
437,499
467,499
437,499
407,499
437,499
467,499
467,499
467,499
467,499
467,499
467,499
467,499
497,499
497,469
497,439
497,439
497,439
497,439
497,469
497,499
497,529
497,529
497,499
497,469
497,469
497,469
497,469
497,439
497,439
497,409
497,409
497,379
497,409
497,409
497,379
497,409
497,439
497,439
497,469
497,469
497,439
497,469
497,469
497,469
497,469
497,499
497,499
497,529
497,499
497,529
497,529
497,529
497,529
497,529
497,529
497,529
497,529
497,529
497,529
497,529
497,559
527,559
497,559
467,559
497,559
527,559
557,559
557,559
557,559
527,559
557,559
527,559
557,559
557,529
557,499
557,499
557,499
557,499
557,469
557,499
557,529
557,529
557,529
557,529
557,499
557,529
557,559
557,559
557,559
557,559
557,559
527,559
527,559
527,559
527,559
527,559
497,559
497,559
527,559
557,559
557,559
557,559
527,559
527,559
527,559
497,559
497,559
527,559
557,559
557,529
557,559
527,559
557,559
557,529
557,529
557,559
557,529
557,499
557,469
557,439
557,409
557,439
557,439
557,439
557,439
557,469
557,469
557,439
557,409
557,379
557,409
557,409
557,439
557,409
557,409
557,439
557,409
557,439
557,469
557,469
557,469
557,469
557,469
557,469
557,469
557,439
557,439
557,409
557,409
557,409
557,379
557,379
557,379
557,409
557,409
557,409
557,409
557,409
557,439
557,439
557,439
557,439
557,439
557,439
557,469
557,469
557,499
557,499
557,499
557,469
557,439
557,439
557,469
557,469
557,469
557,499
557,529
557,559
557,529
557,559
557,559
527,559
527,559
527,559
527,559
527,559
557,559
527,559
527,559
527,559
557,559
557,559
557,559
557,559
557,559
527,559
527,559
497,559
527,559
527,559
557,559
557,529
557,559
557,529
557,499
557,499
557,469
557,439
557,439
