x,y
287,439
257,439
227,439
197,439
227,439
227,439
197,439
167,439
167,439
137,439
137,469
137,469
137,469
137,439
137,469
137,499
107,499
77,499
77,529
77,499
77,529
77,559
47,559
17,559
17,529
17,499
17,469
17,439
17,439
17,439
17,409
17,379
17,349
17,319
17,349
17,349
17,379
17,349
17,319
17,319
17,319
47,319
47,319
77,319
47,319
47,319
77,319
47,319
17,319
47,319
77,319
77,289
77,259
77,259
77,289
77,289
77,289
77,319
77,289
77,259
77,289
77,319
47,319
17,319
17,349
17,319
17,319
17,319
17,319
47,319
47,319
47,319
77,319
77,319
77,319
77,289
77,259
77,289
77,289
77,289
77,289
77,259
77,229
77,199
77,199
77,199
77,199
77,199
77,169
77,139
77,139
107,139
107,139
137,139
137,109
137,79
107,79
107,79
77,79
107,79
137,79
137,79
107,79
77,79
47,79
17,79
17,49
17,49
17,19
47,19
77,19
107,19
107,19
77,19
107,19
107,19
107,19
137,19
167,19
167,19
167,19
197,19
227,19
197,19
197,19
227,19
197,19
227,19
257,19
227,19
197,19
197,19
167,19
197,19
227,19
227,19
257,19
227,19
257,19
257,49
257,79
257,79
287,79
287,79
287,79
317,79
347,79
317,79
347,79
317,79
317,49
317,19
317,19
317,19
347,19
377,19
377,19
377,19
407,19
437,19
467,19
467,19
437,19
437,19
437,19
437,19
437,19
437,19
437,19
467,19
467,19
467,19
467,19
497,19
527,19
497,19
467,19
437,19
467,19
497,19
497,19
497,19
527,19
557,19
557,49
557,49
557,19
557,49
557,79
557,79
557,79
527,79
497,79
497,79
497,79
467,79
497,79
467,79
467,79
437,79
437,79
407,79
437,79
407,79
437,79
437,109
437,109
437,109
437,139
407,139
437,139
407,139
437,139
407,139
377,139
347,139
377,139
347,139
347,139
347,139
317,139
317,139
347,139
377,139
347,139
317,139
317,139
317,169
317,169
317,169
317,169
317,169
317,139
317,139
317,139
317,169
317,169
317,139
317,139
317,169
317,139
317,169
317,139
347,139
317,139
317,169
317,199
287,199
287,199
287,199
287,199
317,199
287,199
287,199
257,199
257,169
257,139
257,139
257,169
257,139
257,139
257,169
257,199
257,199
287,199
287,199
287,199
317,199
317,199
347,199
317,199
287,199
287,199
287,199
257,199
257,199
227,199
227,199
257,199
287,199
317,199
347,199
377,199
377,229
377,229
377,229
377,229
377,259
377,259
377,289
377,319
347,319
347,319
377,319
347,319
347,319
317,319
287,319
287,319
287,319
287,319
257,319
257,319
257,319
257,319
227,319
227,319
227,319
197,319
197,319
197,319
227,319
197,319
197,319
197,319
197,319
197,319
197,319
197,289
197,289
197,289
197,259
197,259
197,259
197,289
197,289
197,259
197,229
197,229
197,199
167,199
167,199
167,199
167,199
167,199
167,199
167,199
167,199
167,199
167,199
137,199
137,199
