x,y
287,439
317,439
347,439
377,439
407,439
407,439
407,439
407,439
437,439
437,469
437,499
467,499
467,499
467,499
497,499
467,499
437,499
467,499
467,499
467,499
467,499
497,499
497,529
497,529
497,499
497,469
497,499
497,469
497,499
467,499
497,499
497,499
497,499
467,499
437,499
467,499
467,499
497,499
467,499
497,499
497,469
497,469
497,439
497,469
497,439
497,409
497,439
497,469
497,469
497,439
497,409
497,439
497,469
497,499
467,499
497,499
497,499
497,529
497,529
497,529
497,559
497,529
497,529
497,529
497,559
467,559
467,559
437,559
437,559
467,559
497,559
497,529
497,499
497,499
497,529
497,529
497,559
467,559
437,559
437,559
437,559
407,559
407,559
437,559
407,559
437,559
407,559
407,559
407,559
377,559
407,559
377,559
377,559
347,559
317,559
287,559
317,559
287,559
287,559
257,559
227,559
227,559
197,559
167,559
137,559
137,559
137,559
167,559
167,559
137,559
137,559
137,559
137,559
137,559
107,559
77,559
77,529
77,499
77,469
77,439
77,439
77,439
77,409
77,409
77,379
107,379
77,379
77,409
77,379
77,379
77,379
77,379
107,379
137,379
137,379
137,379
137,349
137,319
137,349
137,379
137,379
167,379
197,379
167,379
197,379
167,379
167,379
137,379
107,379
77,379
77,409
77,379
77,409
77,379
107,379
107,379
107,379
77,379
77,379
