x,y
287,439
257,439
227,439
257,439
227,439
227,439
227,439
257,439
257,439
257,439
257,439
287,439
317,439
347,439
377,439
407,439
407,439
407,439
437,439
437,439
437,439
437,469
437,439
437,439
437,439
437,469
437,499
407,499
407,499
407,499
407,499
377,499
377,499
377,499
377,499
347,499
347,499
347,499
317,499
317,499
317,529
317,499
317,529
317,499
317,499
317,499
317,499
317,499
317,499
317,529
317,529
317,499
317,499
317,529
317,559
317,559
287,559
287,559
317,559
347,559
347,559
347,559
347,559
377,559
407,559
377,559
377,559
377,559
347,559
377,559
347,559
347,559
347,559
317,559
317,529
317,529
317,529
317,529
317,529
317,529
317,529
317,529
317,499
317,529
317,559
317,529
317,499
317,499
317,529
317,559
317,559
287,559
257,559
227,559
227,559
257,559
227,559
227,559
227,559
227,559
227,559
227,559
257,559
287,559
287,559
257,559
257,529
257,559
227,559
257,559
227,559
197,559
167,559
197,559
167,559
137,559
137,559
167,559
137,559
137,559
107,559
107,559
77,559
107,559
107,559
107,559
107,559
107,559
107,559
107,559
77,559
47,559
17,559
17,559
17,559
47,559
47,559
47,559
17,559
17,529
17,499
17,499
17,499
17,529
17,529
17,559
17,559
17,559
17,559
17,559
17,529
17,499
17,499
17,499
17,469
17,499
17,499
17,499
17,469
17,469
17,439
17,409
17,409
17,409
17,409
17,379
17,349
17,349
17,319
17,349
17,349
17,349
17,349
17,319
17,349
17,379
17,349
17,349
17,349
17,349
17,349
17,349
17,349
17,379
17,349
17,349
17,349
17,319
47,319
77,319
77,289
77,259
77,259
77,259
77,289
77,289
77,319
77,319
107,319
77,319
107,319
137,319
137,319
107,319
77,319
77,319
107,319
77,319
107,319
77,319
47,319
77,319
77,289
77,259
47,259
17,259
47,259
17,259
17,259
17,259
17,259
17,259
17,229
17,229
17,229
17,229
17,229
17,259
47,259
47,259
47,259
47,259
77,259
77,289
77,259
77,289
77,289
77,289
77,289
77,319
77,319
77,289
77,259
77,229
77,259
77,289
77,289
77,319
77,289
77,319
47,319
17,319
47,319
77,319
47,319
17,319
17,319
17,349
17,379
17,379
17,409
17,409
17,379
17,349
17,349
17,349
17,379
17,349
17,349
17,349
17,349
17,349
17,349
17,349
17,379
17,409
17,379
17,379
17,379
17,379
17,379
17,409
17,439
17,439
17,439
17,409
17,379
17,379
17,349
17,349
17,349
17,319
17,349
17,319
17,319
17,349
17,319
17,349
17,349
17,319
17,319
47,319
47,319
47,319
17,319
17,319
17,349
17,349
17,349
17,379
17,349
17,349
17,349
17,379
17,409
17,379
17,379
17,379
17,349
17,379
17,349
17,349
17,319
47,319
47,319
47,319
77,319
77,289
77,289
77,259
77,229
77,229
77,229
77,259
77,289
77,289
77,289
77,319
77,319
47,319
77,319
107,319
77,319
47,319
47,319
47,319
47,319
47,319
47,319
77,319
77,289
77,319
77,289
77,289
77,289
77,289
77,319
77,289
77,319
77,289
77,289
77,289
77,289
77,289
77,259
77,289
77,319
77,319
77,319
77,319
47,319
77,319
107,319
107,319
77,319
77,289
77,319
77,319
77,289
77,259
47,259
77,259
77,229
77,229
77,259
77,259
47,259
77,259
77,259
77,229
77,229
77,229
77,199
77,229
77,229
77,199
77,199
77,229
77,259
77,229
77,259
77,229
77,259
77,289
77,289
77,259
47,259
17,259
47,259
47,259
47,259
47,259
47,259
47,259
17,259
17,259
17,229
17,229
17,229
17,229
17,199
17,199
17,229
17,229
17,199
17,199
17,169
17,199
17,199
17,169
17,199
17,169
17,199
17,199
17,229
17,229
17,229
17,259
17,259
17,229
17,259
47,259
47,259
17,259
17,259
47,259
47,259
47,259
17,259
17,259
47,259
17,259
17,229
17,259
17,259
17,229
17,259
17,259
47,259
77,259
47,259
17,259
47,259
47,259
47,259
77,259
47,259
17,259
17,229
17,199
17,199
17,199
17,199
17,199
17,169
17,169
17,169
17,139
17,109
17,109
17,109
17,79
17,49
17,19
47,19
47,19
17,19
47,19
77,19
77,19
77,19
47,19
47,19
47,19
47,19
47,19
17,19
17,19
17,19
17,19
17,49
17,49
17,49
17,49
17,19
47,19
17,19
17,19
47,19
77,19
77,19
47,19
17,19
17,19
47,19
77,19
47,19
77,19
107,19
107,19
107,19
77,19
47,19
77,19
107,19
107,19
77,19
107,19
77,19
107,19
107,19
107,19
107,19
77,19
47,19
47,19
77,19
107,19
77,19
77,19
77,19
77,19
77,19
77,19
77,19
47,19
17,19
17,49
17,19
17,19
17,19
17,19
17,19
47,19
77,19
77,19
77,19
47,19
77,19
107,19
