x,y
287,439
287,439
287,439
317,439
347,439
377,439
407,439
437,439
437,469
437,469
437,499
467,499
437,499
407,499
377,499
347,499
347,499
317,499
347,499
347,499
377,499
347,499
317,499
317,529
317,499
317,529
317,499
347,499
317,499
317,529
317,499
347,499
377,499
377,499
377,499
407,499
407,499
407,499
407,499
407,499
407,499
437,499
467,499
497,499
467,499
467,499
467,499
497,499
497,529
497,529
497,559
497,559
527,559
497,559
527,559
527,559
527,559
497,559
527,559
527,559
557,559
557,529
557,529
557,499
557,469
557,499
557,469
557,499
557,499
557,499
557,469
557,439
557,469
557,469
557,439
557,469
557,469
557,469
557,499
557,469
557,499
557,469
557,439
557,469
557,439
557,439
557,409
557,379
557,349
557,319
527,319
527,319
557,319
557,319
557,349
557,319
557,319
527,319
527,319
497,319
467,319
497,319
497,319
497,289
497,259
497,289
497,319
527,319
497,319
527,319
497,319
497,289
497,319
467,319
467,319
437,319
437,289
437,289
437,289
437,259
437,229
437,199
407,199
407,199
377,199
407,199
377,199
407,199
377,199
347,199
377,199
377,229
