x,y
287,439
287,439
317,439
317,439
347,439
377,439
407,439
407,439
407,439
437,439
407,439
437,439
407,439
407,439
407,439
377,439
407,439
407,439
437,439
437,439
437,439
407,439
437,439
437,439
437,469
437,469
437,499
467,499
437,499
467,499
467,499
467,499
497,499
497,529
497,559
497,559
467,559
467,559
497,559
527,559
557,559
557,529
557,499
557,529
557,499
557,529
557,499
557,499
557,499
557,469
557,439
557,409
557,379
557,379
557,349
557,319
557,319
527,319
557,319
527,319
527,319
557,319
557,349
557,319
557,319
557,319
557,319
557,319
557,319
557,319
527,319
527,319
497,319
497,319
527,319
497,319
497,289
497,289
497,319
497,289
497,289
497,259
497,289
497,319
497,289
497,289
497,259
497,229
497,259
497,259
527,259
557,259
557,229
557,229
557,229
557,199
557,229
557,199
557,229
557,199
557,229
557,199
557,199
557,229
557,199
557,229
557,229
557,229
557,229
557,199
557,169
557,199
557,199
557,169
557,199
557,199
557,169
557,169
557,199
557,169
557,169
557,169
557,169
557,169
557,169
557,199
557,169
557,169
557,199
557,229
557,229
557,259
557,259
557,229
557,259
557,259
557,259
557,229
557,199
557,199
557,199
557,199
557,199
557,199
557,199
557,229
557,259
557,259
557,259
557,259
557,229
557,199
557,199
557,169
557,139
557,139
557,139
557,139
557,139
557,109
557,109
557,109
557,139
557,169
557,139
557,139
557,169
557,169
557,169
557,139
557,139
557,109
557,79
557,49
557,79
557,79
557,109
557,109
557,139
557,109
557,109
557,79
557,49
557,49
557,49
557,49
557,49
557,49
557,49
557,19
527,19
497,19
527,19
527,19
497,19
497,19
497,19
527,19
497,19
497,19
497,19
497,19
497,19
497,19
467,19
467,19
467,19
497,19
497,19
527,19
527,19
527,19
497,19
527,19
527,19
497,19
497,19
467,19
467,19
497,19
467,19
497,19
497,19
527,19
527,19
557,19
527,19
497,19
527,19
527,19
527,19
497,19
497,19
467,19
497,19
467,19
437,19
437,19
407,19
437,19
467,19
437,19
407,19
407,19
377,19
347,19
347,19
347,19
347,19
377,19
377,19
377,19
377,19
407,19
437,19
437,19
437,19
467,19
467,19
467,19
467,19
467,19
467,19
497,19
527,19
527,19
527,19
497,19
497,19
467,19
467,19
497,19
527,19
557,19
527,19
527,19
497,19
467,19
497,19
467,19
467,19
467,19
437,19
437,19
437,19
437,19
467,19
467,19
497,19
527,19
557,19
557,19
527,19
557,19
527,19
557,19
557,19
557,49
557,19
557,49
557,79
557,79
557,109
557,79
527,79
527,79
557,79
527,79
557,79
557,49
557,49
557,49
557,79
557,79
527,79
557,79
527,79
557,79
527,79
557,79
527,79
557,79
557,109
557,79
557,49
557,19
527,19
527,19
557,19
527,19
557,19
557,19
527,19
557,19
557,49
557,19
557,19
557,19
557,19
557,19
557,19
527,19
497,19
467,19
467,19
467,19
497,19
527,19
497,19
497,19
527,19
497,19
527,19
527,19
557,19
527,19
557,19
557,19
557,19
557,19
557,19
527,19
557,19
557,49
557,79
527,79
557,79
527,79
497,79
527,79
557,79
557,79
527,79
527,79
557,79
557,109
557,79
557,49
557,19
527,19
557,19
557,19
527,19
497,19
467,19
467,19
467,19
467,19
467,19
467,19
437,19
467,19
497,19
527,19
557,19
527,19
527,19
527,19
557,19
557,49
557,49
557,49
557,19
557,49
557,49
557,49
557,19
557,49
557,79
527,79
527,79
527,79
527,79
527,79
557,79
557,79
557,49
557,19
527,19
557,19
557,19
527,19
557,19
557,19
527,19
557,19
527,19
527,19
497,19
497,19
497,19
467,19
497,19
497,19
497,19
527,19
527,19
527,19
557,19
527,19
527,19
557,19
527,19
557,19
557,19
527,19
527,19
527,19
527,19
527,19
527,19
497,19
467,19
497,19
467,19
467,19
437,19
467,19
497,19
497,19
467,19
437,19
437,19
437,19
467,19
497,19
527,19
527,19
527,19
527,19
557,19
557,19
527,19
527,19
497,19
467,19
497,19
527,19
527,19
527,19
527,19
497,19
467,19
467,19
467,19
467,19
497,19
527,19
527,19
557,19
557,19
527,19
527,19
557,19
527,19
557,19
557,19
557,19
527,19
497,19
527,19
557,19
527,19
557,19
557,19
527,19
527,19
527,19
527,19
497,19
527,19
527,19
557,19
527,19
527,19
527,19
557,19
557,19
557,49
557,19
527,19
527,19
527,19
557,19
557,49
557,49
557,79
557,49
557,79
557,49
557,49
557,49
557,49
557,49
557,49
557,49
557,19
557,19
527,19
527,19
557,19
557,19
527,19
557,19
557,19
557,49
557,19
557,19
557,19
557,49
557,79
557,49
557,49
557,19
557,19
557,49
557,79
527,79
557,79
557,49
557,79
557,109
557,139
557,139
557,139
557,109
557,109
557,109
557,109
557,109
557,79
557,49
557,79
557,49
557,49
557,19
557,19
527,19
557,19
557,19
527,19
497,19
497,19
527,19
557,19
557,49
557,79
527,79
557,79
527,79
557,79
557,49
557,79
527,79
527,79
557,79
527,79
527,79
527,79
557,79
557,79
527,79
557,79
527,79
527,79
557,79
557,79
527,79
527,79
557,79
