x,y
287,439
317,439
287,439
317,439
317,439
317,439
347,439
347,439
317,439
347,439
347,439
377,439
377,439
407,439
407,439
407,439
407,439
377,439
347,439
317,439
347,439
377,439
407,439
437,439
437,469
437,469
437,499
467,499
467,499
497,499
497,469
497,439
497,469
497,439
497,439
497,439
497,439
497,439
497,439
497,439
497,469
497,439
497,409
497,409
497,409
497,439
497,439
497,439
497,439
497,439
497,469
497,439
497,409
497,379
497,379
467,379
467,379
437,379
437,349
437,349
437,349
437,349
437,319
437,289
437,319
437,289
437,289
437,289
437,289
437,289
437,319
437,289
437,319
437,289
437,319
467,319
467,319
