x,y
287,439
257,439
227,439
257,439
257,439
287,439
287,439
287,439
257,439
257,439
227,439
227,439
227,439
197,439
167,439
137,439
137,439
137,439
137,439
167,439
137,439
137,439
137,469
137,469
137,469
137,469
137,469
137,469
137,469
137,469
137,469
137,469
137,439
137,469
137,499
167,499
197,499
227,499
257,499
257,529
257,499
257,499
227,499
227,499
227,499
257,499
257,499
257,529
257,529
257,529
257,529
257,499
257,499
257,529
257,559
257,529
257,529
257,529
257,559
227,559
197,559
167,559
137,559
107,559
77,559
47,559
17,559
17,559
17,529
17,559
17,559
47,559
47,559
17,559
17,559
17,559
17,529
17,529
17,499
17,499
17,499
17,529
17,559
47,559
77,559
47,559
47,559
47,559
77,559
47,559
17,559
17,559
17,559
47,559
17,559
17,529
17,559
17,529
17,499
17,499
17,529
17,499
17,469
17,469
17,469
17,439
17,409
17,439
17,409
17,439
17,439
17,469
17,439
17,439
17,439
17,469
17,499
17,499
17,469
17,469
17,499
17,469
17,469
17,439
17,439
17,409
17,379
17,349
17,349
17,319
17,319
17,319
17,319
47,319
47,319
17,319
17,319
17,319
17,349
17,349
17,319
17,319
17,349
17,349
17,319
47,319
77,319
47,319
47,319
47,319
47,319
47,319
17,319
17,349
17,349
17,379
17,379
17,349
17,319
47,319
17,319
47,319
77,319
107,319
77,319
77,319
107,319
77,319
107,319
77,319
77,289
77,289
77,259
47,259
17,259
17,229
17,199
17,199
17,199
17,169
17,169
17,139
17,109
17,79
17,79
47,79
77,79
47,79
17,79
17,79
17,109
17,139
17,139
17,109
17,109
17,109
17,139
17,139
17,139
17,139
17,169
17,199
17,169
17,139
17,109
17,139
17,139
17,169
17,139
17,109
17,139
17,139
17,109
17,79
17,109
17,79
17,49
17,49
17,19
17,19
47,19
47,19
77,19
77,19
77,19
47,19
77,19
47,19
77,19
77,19
107,19
107,19
107,19
107,19
77,19
77,19
107,19
77,19
77,19
77,19
107,19
137,19
167,19
197,19
197,19
197,19
197,19
167,19
197,19
227,19
257,19
257,19
257,19
257,49
257,79
287,79
287,79
257,79
287,79
317,79
287,79
257,79
257,79
257,49
257,19
227,19
227,19
