x,y
287,439
317,439
287,439
287,439
287,439
287,439
287,439
287,439
287,439
287,439
317,439
317,439
287,439
287,439
317,439
287,439
317,439
347,439
377,439
407,439
407,439
407,439
437,439
437,439
437,469
437,469
437,499
437,469
437,499
467,499
497,499
497,499
497,529
497,529
497,559
527,559
557,559
557,529
557,499
557,499
557,469
557,469
557,439
557,469
557,439
557,439
557,409
557,409
557,379
557,379
557,409
557,379
557,379
557,409
557,379
557,379
557,349
557,379
557,349
557,349
557,319
527,319
497,319
497,289
497,319
527,319
527,319
497,319
527,319
527,319
557,319
527,319
557,319
527,319
557,319
527,319
527,319
497,319
497,289
497,319
467,319
437,319
437,289
437,289
