x,y
287,439
257,439
257,439
227,439
227,439
227,439
197,439
167,439
197,439
197,439
197,439
197,439
227,439
197,439
227,439
227,439
257,439
257,439
287,439
257,439
227,439
227,439
197,439
167,439
167,439
137,439
167,439
167,439
167,439
197,439
167,439
167,439
167,439
167,439
137,439
167,439
197,439
197,439
167,439
137,439
167,439
137,439
137,469
137,469
137,469
137,499
107,499
107,499
107,499
107,499
77,499
77,499
77,529
77,559
77,559
47,559
47,559
47,559
47,559
77,559
47,559
17,559
47,559
47,559
77,559
77,559
47,559
47,559
77,559
77,529
77,559
77,559
107,559
107,559
77,559
47,559
47,559
47,559
77,559
107,559
107,559
107,559
107,559
77,559
47,559
47,559
47,559
77,559
47,559
77,559
77,529
77,499
107,499
107,499
77,499
107,499
107,499
107,499
77,499
77,469
77,499
77,529
77,529
77,499
77,499
107,499
107,499
137,499
137,499
167,499
167,499
167,499
167,499
167,499
137,499
107,499
137,499
137,469
137,439
137,439
137,469
137,469
137,469
137,469
137,439
137,469
137,469
137,469
137,469
137,439
137,439
137,439
167,439
197,439
227,439
257,439
257,439
257,439
227,439
197,439
197,439
197,439
227,439
227,439
257,439
227,439
197,439
197,439
167,439
137,439
