x,y
287,439
287,439
317,439
347,439
347,439
347,439
377,439
377,439
347,439
377,439
407,439
437,439
407,439
377,439
347,439
347,439
377,439
377,439
377,439
407,439
437,439
437,439
437,439
437,439
437,439
437,439
437,439
437,439
437,469
437,469
437,469
437,469
437,439
437,439
437,469
437,439
437,469
437,439
407,439
377,439
347,439
377,439
407,439
407,439
407,439
407,439
407,439
437,439
437,469
437,469
437,499
467,499
467,499
437,499
407,499
437,499
407,499
407,499
407,499
437,499
437,499
437,469
437,469
437,469
437,469
437,469
437,469
437,499
467,499
467,499
467,499
437,499
467,499
437,499
437,469
437,439
407,439
437,439
437,439
437,439
437,439
437,439
437,469
437,439
437,439
437,439
437,469
437,439
437,439
437,439
437,439
437,469
437,439
437,469
437,439
407,439
407,439
407,439
407,439
437,439
407,439
437,439
407,439
407,439
437,439
407,439
437,439
407,439
377,439
377,439
377,439
377,439
347,439
347,439
377,439
407,439
437,439
437,439
407,439
407,439
437,439
437,469
437,439
437,439
437,439
437,469
437,469
437,469
437,469
437,469
437,439
437,439
437,439
437,439
407,439
437,439
437,439
437,439
437,469
437,469
437,469
437,499
467,499
467,499
497,499
497,469
497,469
497,469
497,439
497,439
497,409
497,439
497,469
