x,y
287,439
287,439
257,439
227,439
227,439
197,439
167,439
137,439
137,469
137,499
167,499
197,499
167,499
167,499
137,499
137,469
137,469
137,499
137,469
137,499
167,499
197,499
197,499
167,499
167,499
167,499
137,499
137,469
137,499
107,499
107,499
107,499
107,499
107,499
77,499
77,529
77,529
77,559
107,559
77,559
47,559
17,559
47,559
17,559
17,529
17,559
17,559
47,559
17,559
17,559
17,529
17,529
17,529
17,529
17,499
17,499
17,529
17,499
17,469
17,439
17,469
17,439
17,409
17,379
17,409
17,379
17,349
17,349
17,319
17,319
47,319
77,319
77,289
77,289
77,259
77,229
77,229
77,199
77,169
77,139
107,139
107,139
107,139
77,139
107,139
77,139
77,139
107,139
137,139
167,139
197,139
167,139
167,139
197,139
197,139
167,139
197,139
197,139
197,139
197,139
227,139
257,139
257,139
257,139
257,169
257,199
257,169
257,139
227,139
257,139
257,139
257,169
257,139
257,169
257,169
257,169
257,199
287,199
287,199
287,199
317,199
347,199
377,199
