x,y
287,439
317,439
317,439
317,439
317,439
287,439
287,439
257,439
287,439
317,439
317,439
347,439
347,439
377,439
347,439
377,439
377,439
347,439
347,439
347,439
347,439
347,439
347,439
347,439
377,439
377,439
407,439
377,439
377,439
407,439
407,439
377,439
407,439
407,439
437,439
437,439
407,439
437,439
407,439
437,439
437,469
437,469
437,499
437,499
467,499
497,499
467,499
497,499
497,529
497,559
527,559
557,559
557,559
557,529
557,499
557,469
557,439
557,409
557,409
557,409
557,409
557,409
557,409
557,409
557,409
557,379
557,349
557,319
527,319
527,319
557,319
557,349
557,379
557,349
557,319
557,319
527,319
497,319
497,289
497,319
497,319
497,289
497,289
497,259
497,289
497,259
497,289
497,289
497,259
497,289
497,259
497,229
497,229
497,229
497,259
497,259
497,289
497,289
497,259
497,259
527,259
497,259
527,259
557,259
557,259
557,229
557,259
557,259
557,229
557,229
557,259
527,259
527,259
527,259
527,259
497,259
497,229
497,199
497,169
497,139
497,139
467,139
497,139
467,139
497,139
467,139
497,139
497,139
467,139
497,139
497,139
467,139
467,139
437,139
467,139
437,139
407,139
377,139
407,139
377,139
377,139
377,139
377,139
347,139
317,139
317,139
347,139
317,139
347,139
317,139
317,169
317,169
317,139
317,169
317,139
347,139
347,139
347,139
317,139
317,169
317,139
317,169
317,139
317,139
317,169
317,139
317,139
317,169
317,139
347,139
317,139
347,139
347,139
347,139
377,139
407,139
377,139
377,139
407,139
377,139
347,139
347,139
377,139
377,139
347,139
377,139
377,139
377,139
347,139
317,139
347,139
317,139
347,139
317,139
317,169
317,139
317,139
347,139
347,139
377,139
347,139
377,139
377,139
407,139
437,139
407,139
377,139
347,139
347,139
317,139
317,139
317,139
347,139
347,139
317,139
347,139
347,139
317,139
347,139
317,139
347,139
347,139
317,139
347,139
347,139
347,139
317,139
317,169
317,169
317,139
317,139
347,139
317,139
347,139
347,139
317,139
317,169
317,199
287,199
257,199
257,169
257,169
257,139
257,169
257,199
287,199
