episode,score,elapsed_time
360,4300,22.87
361,3900,14.93
362,5600,20.85
363,4650,17.14
364,600,6.33
365,5400,23.86
366,1250,10.2
367,2750,22.53
368,7200,45.7
369,3800,13.6
370,6300,22.86
371,3500,15.65
372,3100,10.52
373,4700,22.12
374,850,17.62
375,1000,11.53
376,4600,19.4
377,7500,60.07
378,5600,60.04
379,2300,16.33
380,5800,60.07
381,10600,39.54
382,4700,25.74
383,1050,7.8
384,4450,24.53
385,6650,60.07
386,2850,13.52
387,3300,20.59
388,4250,11.26
389,4900,22.67
390,10600,45.79
391,8350,35.46
392,5600,14.59
393,7750,55.59
394,4650,18.52
395,5100,19.07
396,6950,60.04
397,7800,37.46
398,6950,60.07
399,7050,60.01
400,4150,23.32
401,7650,53.37
402,1950,15.33
403,7300,36.27
404,1300,3.8
405,800,11.47
406,9250,41.81
407,6600,60.05
408,1900,15.53
409,3350,22.07
410,7050,60.04
411,450,7.4
412,9400,55.48
413,1100,15.65
414,450,9.67
415,400,11.27
416,600,11.86
417,4250,60.03
418,2100,8.53
419,4250,19.98
420,7100,48.66
421,900,13.33
422,10100,50.46
423,4400,11.2
424,4400,18.33
425,6800,31.67
426,10650,60.03
427,3050,18.1
428,6850,60.03
429,7150,60.03
430,2850,15.06
431,850,9.86
432,3950,60.03
433,1250,9.73
434,1050,11.33
435,700,10.47
436,6150,27.1
437,550,3.4
438,6400,37.75
439,1750,15.94
440,1950,11.25
441,10150,50.37
442,750,15.05
443,3100,46.11
444,1900,14.57
445,750,9.52
446,10200,60.02
447,5050,60.03
448,4600,14.12
449,13250,56.11
450,2700,28.52
451,2400,20.6
452,5300,36.59
453,5350,19.33
454,4100,29.0
455,2250,15.2
456,3950,42.6
457,4550,60.03
458,4800,19.65
459,5350,18.58
460,1550,15.94
461,1500,12.79
462,10500,60.08
463,5400,24.08
464,6200,60.06
465,7750,55.79
466,4500,37.19
467,6900,44.94
468,4200,22.99
469,1100,16.6
470,2000,27.52
471,4200,24.06
472,7900,60.06
473,7100,40.27
474,9450,54.39
475,2200,14.61
476,6950,23.88
477,4100,16.95
